,Symbol,Name,Exchange,MarketCap
1825,LBTYA,Liberty Global plc,NASDAQ,11150000000.0
1826,LBTYB,Liberty Global plc,NASDAQ,10930000000.0
1827,LBTYK,Liberty Global plc,NASDAQ,10460000000.0
1883,LULU,lululemon athletica inc.,NASDAQ,21500000000.0
1920,MKTX,"MarketAxess Holdings, Inc.",NASDAQ,11780000000.0
1922,MAR,Marriott International,NASDAQ,24180000000.0
1926,MRVL,Marvell Technology Group Ltd.,NASDAQ,12520000000.0
1929,MTCH,"Match Group, Inc.",NASDAQ,13390000000.0
1934,MXIM,"Maxim Integrated Products, Inc.",NASDAQ,11890000000.0
1951,MELI,"MercadoLibre, Inc.",NASDAQ,22510000000.0
1976,MCHP,Microchip Technology Incorporated,NASDAQ,14290000000.0
1977,MU,"Micron Technology, Inc.",NASDAQ,40110000000.0
1978,MSFT,Microsoft Corporation,NASDAQ,1044690000000.0
2008,MRNA,"Moderna, Inc.",NASDAQ,9280000000.0
2018,MDLZ,"Mondelez International, Inc.",NASDAQ,62080000000.0
2026,MNST,Monster Beverage Corporation,NASDAQ,27970000000.0
2058,NDAQ,"Nasdaq, Inc.",NASDAQ,13280000000.0
2098,NTES,"NetEase, Inc.",NASDAQ,36480000000.0
2101,NFLX,"Netflix, Inc.",NASDAQ,146050000000.0
2147,NTRS,Northern Trust Corporation,NASDAQ,13510000000.0
2152,NLOK,NortonLifeLock Inc.,NASDAQ,10180000000.0
2169,NVDA,NVIDIA Corporation,NASDAQ,125920000000.0
2170,NXPI,NXP Semiconductors N.V.,NASDAQ,20580000000.0
2195,OKTA,"Okta, Inc.",NASDAQ,14170000000.0
2196,ODFL,"Old Dominion Freight Line, Inc.",NASDAQ,13440000000.0
2233,ORLY,"O&#39;Reilly Automotive, Inc.",NASDAQ,19760000000.0
2264,PCAR,PACCAR Inc.,NASDAQ,18120000000.0
2293,PAYX,"Paychex, Inc.",NASDAQ,18630000000.0
2295,PYPL,"PayPal Holdings, Inc.",NASDAQ,101670000000.0
2322,PEP,"Pepsico, Inc.",NASDAQ,144420000000.0
2346,PDD,Pinduoduo Inc.,NASDAQ,39020000000.0
2457,QCOM,QUALCOMM Incorporated,NASDAQ,69620000000.0
2509,REGN,"Regeneron Pharmaceuticals, Inc.",NASDAQ,48240000000.0
2558,ROKU,"Roku, Inc.",NASDAQ,9130000000.0
2560,ROST,"Ross Stores, Inc.",NASDAQ,22930000000.0
2570,RYAAY,Ryanair Holdings plc,NASDAQ,10790000000.0
2588,SNY,Sanofi,NASDAQ,95050000000.0
2595,SBAC,SBA Communications Corporation,NASDAQ,25670000000.0
2610,STX,Seagate Technology PLC,NASDAQ,10630000000.0
2614,SGEN,"Seattle Genetics, Inc.",NASDAQ,17200000000.0
2682,SIRI,Sirius XM Holdings Inc.,NASDAQ,19600000000.0
2686,SWKS,"Skyworks Solutions, Inc.",NASDAQ,12540000000.0
2739,SPLK,Splunk Inc.,NASDAQ,17200000000.0
2749,SSNC,"SS&C Technologies Holdings, Inc.",NASDAQ,9120000000.0
2756,SBUX,Starbucks Corporation,NASDAQ,68110000000.0
2816,SNPS,"Synopsys, Inc.",NASDAQ,16520000000.0
2820,TROW,"T. Rowe Price Group, Inc.",NASDAQ,21320000000.0
2826,TTWO,"Take-Two Interactive Software, Inc.",NASDAQ,11360000000.0
2840,AMTD,TD Ameritrade Holding Corporation,NASDAQ,16800000000.0
2859,TSLA,"Tesla, Inc. ",NASDAQ,78830000000.0
2865,TXN,Texas Instruments Incorporated,NASDAQ,91130000000.0
2890,KHC,The Kraft Heinz Company,NASDAQ,27210000000.0
2926,TMUS,"T-Mobile US, Inc.",NASDAQ,63880000000.0
2961,TCOM,Trip.com Group Limited,NASDAQ,13400000000.0
3061,VCIT,Vanguard Intermediate-Term Corporate Bond ETF,NASDAQ,23890000000.0
3067,VMBS,Vanguard Mortgage-Backed Securities ETF,NASDAQ,11130000000.0
3075,VCSH,Vanguard Short-Term Corporate Bond ETF,NASDAQ,21140000000.0
3078,BND,Vanguard Total Bond Market ETF,NASDAQ,48800000000.0
3080,BNDX,Vanguard Total International Bond ETF,NASDAQ,25930000000.0
3081,VXUS,Vanguard Total International Stock ETF,NASDAQ,14170000000.0
3100,VRSN,"VeriSign, Inc.",NASDAQ,18290000000.0
3101,VRSK,"Verisk Analytics, Inc.",NASDAQ,20260000000.0
3109,VRTX,Vertex Pharmaceuticals Incorporated,NASDAQ,53410000000.0
3112,VIACA,ViacomCBS Inc.,NASDAQ,10020000000.0
3154,VOD,Vodafone Group Plc,NASDAQ,33950000000.000004
3164,WBA,"Walgreens Boots Alliance, Inc.",NASDAQ,41120000000.0
3185,WDC,Western Digital Corporation,NASDAQ,9280000000.0
3199,WLTW,Willis Towers Watson Public Limited Company,NASDAQ,19650000000.0
3224,WDAY,"Workday, Inc.",NASDAQ,29000000000.0
3236,XEL,Xcel Energy Inc.,NASDAQ,26560000000.0
3241,XLNX,"Xilinx, Inc.",NASDAQ,17880000000.0
3243,XP,XP Inc.,NASDAQ,9900000000.0
3249,YNDX,Yandex N.V.,NASDAQ,9870000000.0
3263,ZBRA,Zebra Technologies Corporation,NASDAQ,9690000000.0
3276,ZM,"Zoom Video Communications, Inc.",NASDAQ,36080000000.0
3285,MMM,3M Company,NYSE,71890000000.0
3294,ABB,ABB Ltd,NYSE,34049999999.999996
3295,ABT,Abbott Laboratories,NYSE,119910000000.0
3296,ABBV,AbbVie Inc.,NYSE,101800000000.0
3306,ACN,Accenture plc,NYSE,95310000000.0
3327,AFL,Aflac Incorporated,NYSE,19310000000.0
3330,A,"Agilent Technologies, Inc.",NYSE,20580000000.0
3334,APD,"Air Products and Chemicals, Inc.",NYSE,41740000000.0
3342,ALC,Alcon Inc.,NYSE,20970000000.0
3345,ARE,"Alexandria Real Estate Equities, Inc.",NYSE,15130000000.0
3347,BABA,Alibaba Group Holding Limited,NYSE,486380000000.0
3351,AGN,Allergan plc.,NYSE,56220000000.0
3365,ALL,Allstate Corporation (The),NYSE,23410000000.0
3370,ATUS,"Altice USA, Inc.",NYSE,11990000000.0
3371,MO,Altria Group,NYSE,63700000000.0
3375,ABEV,Ambev S.A.,NYSE,37750000000.0
3377,AMCR,Amcor plc,NYSE,11710000000.0
3378,AEE,Ameren Corporation,NYSE,15500000000.0
3380,AMOV,"America Movil, S.A.B. de C.V.",NYSE,39470000000.0
3381,AMX,"America Movil, S.A.B. de C.V.",NYSE,39830000000.0
3386,AEP,"American Electric Power Company, Inc.",NYSE,35360000000.0
3388,AXP,American Express Company,NYSE,59890000000.0
3392,AIG,"American International Group, Inc.",NYSE,16649999999.999998
3396,AMT,American Tower Corporation (REIT),NYSE,86540000000.0
3398,AWK,American Water Works,NYSE,18220000000.0
3400,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",NYSE,11070000000.0
3401,ABC,AmerisourceBergen Corporation (Holding Co),NYSE,16600000000.000002
3406,APH,Amphenol Corporation,NYSE,20880000000.0
3409,AME,"AMTEK, Inc.",NYSE,14520000000.0
3413,BUD,Anheuser-Busch Inbev SA,NYSE,78960000000.0
3418,ANTM,"Anthem, Inc.",NYSE,48340000000.0
3420,AON,Aon plc,NYSE,34590000000.0
3426,APO,"Apollo Global Management, Inc",NYSE,11030000000.0
3432,APTV,Aptiv PLC,NYSE,11530000000.0
3439,ADM,Archer-Daniels-Midland Company,NYSE,17079999999.999998
3453,ANET,"Arista Networks, Inc.",NYSE,12580000000.0
3461,AJG,Arthur J. Gallagher & Co.,NYSE,13470000000.0
3476,AZN,Astrazeneca PLC,NYSE,103450000000.0
3478,T,AT&T Inc.,NYSE,204360000000.0
3484,ATO,Atmos Energy Corporation,NYSE,10540000000.0
3489,AZO,"AutoZone, Inc.",NYSE,17000000000.0
3491,AVB,"AvalonBay Communities, Inc.",NYSE,18510000000.0
3492,AGR,"Avangrid, Inc.",NYSE,12860000000.0
3511,BKR,Baker Hughes Company,NYSE,10310000000.0
3513,BLL,Ball Corporation,NYSE,17880000000.0
3516,BBVA,Banco Bilbao Viscaya Argentaria S.A.,NYSE,19940000000.0
3517,BBD,Banco Bradesco Sa,NYSE,30280000000.0
3518,BBDO,Banco Bradesco Sa,NYSE,27710000000.0
3521,BSBR,Banco Santander Brasil SA,NYSE,37250000000.0
3524,SAN,"Banco Santander, S.A.",NYSE,36380000000.0
3527,BAC,Bank of America Corporation,NYSE,171620000000.0
3529,BMO,Bank Of Montreal,NYSE,27600000000.0
3531,BNS,Bank of Nova Scotia (The),NYSE,42250000000.0
3533,BCS,Barclays PLC,NYSE,17370000000.0
3539,GOLD,Barrick Gold Corporation,NYSE,28230000000.0
3541,BAX,Baxter International Inc.,NYSE,38420000000.0
3544,BCE,"BCE, Inc.",NYSE,32450000000.000004
3546,BDX,"Becton, Dickinson and Company",NYSE,59690000000.0
3552,BBY,"Best Buy Co., Inc.",NYSE,13370000000.0
3555,BHP,BHP Group Limited,NYSE,79590000000.0
3556,BBL,BHP Group Plc,NYSE,62990000000.0
3561,BIO,"Bio-Rad Laboratories, Inc.",NYSE,9850000000.0
3634,BLK,"BlackRock, Inc.",NYSE,55210000000.0
3648,BA,Boeing Company (The),NYSE,53610000000.0
3656,BXP,"Boston Properties, Inc.",NYSE,12720000000.0
3657,BSX,Boston Scientific Corporation,NYSE,38030000000.0
3661,BP,BP p.l.c.,NYSE,58720000000.0
3678,BMY,Bristol-Myers Squibb Company,NYSE,109260000000.0
3679,BTI,British American Tobacco p.l.c.,NYSE,68540000000.00001
3682,BR,"Broadridge Financial Solutions, Inc.",NYSE,10420000000.0
3684,BAM,Brookfield Asset Management Inc,NYSE,40560000000.0
3686,BIP,Brookfield Infrastructure Partners LP,NYSE,9600000000.0
3689,BRO,"Brown & Brown, Inc.",NYSE,9470000000.0
3696,BURL,"Burlington Stores, Inc.",NYSE,9090000000.0
3715,CPB,Campbell Soup Company,NYSE,13670000000.0
3718,CM,Canadian Imperial Bank of Commerce,NYSE,22710000000.0
3719,CNI,Canadian National Railway Company,NYSE,49010000000.0
3720,CNQ,Canadian Natural Resources Limited,NYSE,9920000000.0
3721,CP,Canadian Pacific Railway Limited,NYSE,25470000000.0
3725,CAJ,"Canon, Inc.",NYSE,22430000000.0
3728,COF,Capital One Financial Corporation,NYSE,20580000000.0
3733,CAH,"Cardinal Health, Inc.",NYSE,12640000000.0
3747,CAT,"Caterpillar, Inc.",NYSE,52530000000.0
3752,CBRE,"CBRE Group, Inc.",NYSE,11470000000.0
3761,CNC,Centene Corporation,NYSE,28670000000.0
3767,CTL,"CenturyLink, Inc.",NYSE,9910000000.0
3770,GIB,CGI Inc.,NYSE,11580000000.0
3783,CVX,Chevron Corporation,NYSE,111610000000.0
3784,CHWY,"Chewy, Inc.",NYSE,12720000000.0
3791,LFC,China Life Insurance Company Limited,NYSE,48950000000.0
3792,CHL,China Mobile (Hong Kong) Ltd.,NYSE,139720000000.0
3794,SNP,China Petroleum & Chemical Corporation,NYSE,52330000000.0
3797,CHA,China Telecom Corp Ltd,NYSE,22800000000.0
3798,CHU,China Unicom (Hong Kong) Ltd,NYSE,16980000000.0
3800,CMG,"Chipotle Mexican Grill, Inc.",NYSE,15720000000.0
3802,CB,Chubb Limited,NYSE,45900000000.0
3803,CHT,"Chunghwa Telecom Co., Ltd.",NYSE,27380000000.0
3804,CHD,"Church & Dwight Company, Inc.",NYSE,16149999999.999998
3807,CI,Cigna Corporation,NYSE,52850000000.0
3815,C,Citigroup Inc.,NYSE,79860000000.0
3830,CLX,Clorox Company (The),NYSE,22190000000.0
3833,CMS,CMS Energy Corporation,NYSE,14070000000.0
3841,KOF,Coca Cola Femsa S.A.B. de C.V.,NYSE,68990000000.0
3842,KO,Coca-Cola Company (The),NYSE,164440000000.0
3843,CCEP,Coca-Cola European Partners plc,NYSE,14350000000.0
3855,CL,Colgate-Palmolive Company,NYSE,53080000000.0
3879,CAG,"ConAgra Brands, Inc.",NYSE,12680000000.0
3883,COP,ConocoPhillips,NYSE,29020000000.0
3886,ED,Consolidated Edison Inc,NYSE,24230000000.0
3887,STZ,Constellation Brands Inc,NYSE,22940000000.0
3904,GLW,Corning Incorporated,NYSE,14400000000.0
3907,CTVA,"Corteva, Inc.",NYSE,16879999999.999998
3916,BAP,Credicorp Ltd.,NYSE,10590000000.0
3917,CS,Credit Suisse Group,NYSE,17050000000.0
3920,CRH,CRH PLC,NYSE,15570000000.0
3923,CCI,Crown Castle International Corporation,NYSE,53370000000.0
3931,CMI,Cummins Inc.,NYSE,17500000000.0
3941,CVS,CVS Health Corporation,NYSE,71340000000.0
3943,DHI,"D.R. Horton, Inc.",NYSE,11500000000.0
3945,DHR,Danaher Corporation,NYSE,86200000000.0
3953,DE,Deere & Company,NYSE,35010000000.0
3958,DELL,Dell Technologies Inc.,NYSE,24060000000.0
3960,DAL,"Delta Air Lines, Inc.",NYSE,13670000000.0
3965,DB,Deutsche Bank AG,NYSE,11900000000.0
3969,DEO,Diageo plc,NYSE,64010000000.00001
3976,DLR,"Digital Realty Trust, Inc.",NYSE,31420000000.0
3982,DG,Dollar General Corporation,NYSE,35680000000.0
3983,D,"Dominion Energy, Inc.",NYSE,56330000000.0
3984,DPZ,Domino&#39;s Pizza Inc,NYSE,11710000000.0
3994,DOV,Dover Corporation,NYSE,9540000000.0
3996,DOW,Dow Inc.,NYSE,20380000000.0
4001,DTE,DTE Energy Company,NYSE,15980000000.0
4008,DUK,Duke Energy Corporation,NYSE,50160000000.0
4009,DRE,Duke Realty Corporation,NYSE,9940000000.0
4010,DD,"DuPont de Nemours, Inc.",NYSE,23270000000.0
4026,ETN,"Eaton Corporation, PLC",NYSE,26710000000.0
4051,ECL,Ecolab Inc.,NYSE,40890000000.0
4052,EC,Ecopetrol S.A.,NYSE,14780000000.0
4054,EIX,Edison International,NYSE,16989999999.999998
4055,EW,Edwards Lifesciences Corporation,NYSE,34810000000.0
4062,LLY,Eli Lilly and Company,NYSE,117060000000.0
4069,EMR,Emerson Electric Company,NYSE,26980000000.0
4074,ENB,Enbridge Inc,NYSE,51890000000.0
4081,ET,Energy Transfer L.P.,NYSE,14120000000.0
4085,E,ENI S.p.A.,NYSE,28660000000.0
4091,ETR,Entergy Corporation,NYSE,15980000000.0
4092,EPD,Enterprise Products Partners L.P.,NYSE,32670000000.0
4098,EOG,"EOG Resources, Inc.",NYSE,20310000000.0
4099,EPAM,"EPAM Systems, Inc.",NYSE,9290000000.0
4103,EFX,"Equifax, Inc.",NYSE,12810000000.0
4104,EQNR,Equinor ASA,NYSE,31410000000.0
4109,EQR,Equity Residential,NYSE,20570000000.0
4117,ESS,"Essex Property Trust, Inc.",NYSE,12990000000.0
4118,EL,"Estee Lauder Companies, Inc. (The)",NYSE,54290000000.0
4125,EVRG,"Evergy, Inc.",NYSE,10690000000.0
4127,ES,Eversource Energy,NYSE,22550000000.0
4134,EXR,Extra Space Storage Inc,NYSE,10330000000.0
4135,XOM,Exxon Mobil Corporation,NYSE,138560000000.0
4152,FDX,FedEx Corporation,NYSE,29010000000.0
4153,RACE,Ferrari N.V.,NYSE,34700000000.0
4156,FCAU,Fiat Chrysler Automobiles N.V.,NYSE,12810000000.0
4158,FIS,"Fidelity National Information Services, Inc.",NYSE,63370000000.0
4167,FRC,FIRST REPUBLIC BANK,NYSE,13630000000.0
4181,FE,FirstEnergy Corp.,NYSE,18540000000.0
4191,FLT,"FleetCor Technologies, Inc.",NYSE,15980000000.0
4200,FMX,Fomento Economico Mexicano S.A.B. de C.V.,NYSE,106940000000.0
4202,F,Ford Motor Company,NYSE,17170000000.000002
4204,FTS,Fortis Inc.,NYSE,14760000000.0
4205,FTV,Fortive Corporation,NYSE,15330000000.0
4213,FNV,Franco-Nevada Corporation,NYSE,17780000000.0
4220,FMS,Fresenius Medical Care Corporation,NYSE,17550000000.0
4249,GD,General Dynamics Corporation,NYSE,33009999999.999996
4250,GE,General Electric Company,NYSE,56720000000.0
4251,GIS,"General Mills, Inc.",NYSE,32280000000.0
4252,GM,General Motors Company,NYSE,26330000000.0
4269,GSK,GlaxoSmithKline PLC,NYSE,83630000000.0
4274,GPN,Global Payments Inc.,NYSE,35720000000.0
4285,GS,"Goldman Sachs Group, Inc. (The)",NYSE,47840000000.0
4315,GSX,GSX Techedu Inc.,NYSE,9530000000.0
4336,HIG,"Hartford Financial Services Group, Inc. (The)",NYSE,11200000000.0
4340,HCA,"HCA Healthcare, Inc.",NYSE,26570000000.0
4342,HDB,HDFC Bank Limited,NYSE,65379999999.99999
4345,PEAK,"Healthpeak Properties, Inc.",NYSE,10600000000.0
4347,HEI,Heico Corporation,NYSE,9450000000.0
4356,HSY,Hershey Company (The),NYSE,24690000000.0
4358,HES,Hess Corporation,NYSE,9370000000.0
4360,HPE,Hewlett Packard Enterprise Company,NYSE,11120000000.0
4374,HLT,Hilton Worldwide Holdings Inc.,NYSE,17090000000.0
4379,HD,"Home Depot, Inc. (The)",NYSE,165970000000.0
4380,HMC,"Honda Motor Company, Ltd.",NYSE,35970000000.0
4381,HON,Honeywell International Inc.,NYSE,79570000000.0
4384,HRL,Hormel Foods Corporation,NYSE,24260000000.0
4389,HPQ,HP Inc.,NYSE,20000000000.0
4390,HSBC,HSBC Holdings plc,NYSE,117150000000.0
4398,HUM,Humana Inc.,NYSE,30470000000.0
4407,IBN,ICICI Bank Limited,NYSE,25950000000.0
4411,INFO,IHS Markit Ltd.,NYSE,20350000000.0
4412,ITW,Illinois Tool Works Inc.,NYSE,40110000000.0
4419,INFY,Infosys Limited,NYSE,29430000000.0
4420,ING,"ING Group, N.V.",NYSE,19640000000.0
4433,ICE,Intercontinental Exchange Inc.,NYSE,40400000000.0
4436,IBM,International Business Machines Corporation,NYSE,84750000000.0
4437,IFF,"International Flavors & Fragrances, Inc.",NYSE,10940000000.0
4439,IP,International Paper Company,NYSE,11570000000.0
4463,INVH,Invitation Homes Inc.,NYSE,9310000000.0
4465,IQV,"IQVIA Holdings, Inc.",NYSE,17680000000.0
4471,ITUB,Itau Unibanco Banco Holding SA,NYSE,42690000000.0
4474,JPM,J P Morgan Chase & Co,NYSE,256680000000.0
4478,SJM,J.M. Smucker Company (The),NYSE,11880000000.0
4502,JNJ,Johnson & Johnson,NYSE,316070000000.0
4503,JCI,Johnson Controls International plc,NYSE,19030000000.0
4514,KSU,Kansas City Southern,NYSE,10430000000.0
4521,K,Kellogg Company,NYSE,19110000000.0
4527,KDP,Keurig Dr Pepper Inc.,NYSE,33110000000.0
4528,KEY,KeyCorp,NYSE,8910000000.0
4529,KEYS,Keysight Technologies Inc.,NYSE,15570000000.0
4532,KMB,Kimberly-Clark Corporation,NYSE,40390000000.0
4534,KMI,"Kinder Morgan, Inc.",NYSE,27970000000.0
4540,KKR,KKR & Co. Inc.,NYSE,16180000000.0
4548,PHG,Koninklijke Philips N.V.,NYSE,29290000000.0
4556,KR,Kroger Company (The),NYSE,25030000000.0
4561,LHX,"L3Harris Technologies, Inc.",NYSE,33409999999.999996
4562,LH,Laboratory Corporation of America Holdings,NYSE,10430000000.0
4568,LVS,Las Vegas Sands Corp.,NYSE,33080000000.0
4580,LDOS,"Leidos Holdings, Inc.",NYSE,10250000000.0
4583,LEN,Lennar Corporation,NYSE,10650000000.0
4595,LIN,Linde plc,NYSE,80640000000.0
4597,LN,LINE Corporation,NYSE,10870000000.0
4604,LYG,Lloyds Banking Group Plc,NYSE,24470000000.0
4606,LMT,Lockheed Martin Corporation,NYSE,82090000000.0
4607,L,Loews Corporation,NYSE,9000000000.0
4610,LOW,"Lowe&#39;s Companies, Inc.",NYSE,50860000000.0
4617,LYB,LyondellBasell Industries NV,NYSE,14010000000.0
4618,MTB,M&T Bank Corporation,NYSE,12830000000.0
4640,MFC,Manulife Financial Corp,NYSE,18260000000.0
4642,MPC,Marathon Petroleum Corporation,NYSE,12320000000.0
4647,MKL,Markel Corporation,NYSE,10820000000.0
4649,MMC,"Marsh & McLennan Companies, Inc.",NYSE,40250000000.0
4650,MLM,"Martin Marietta Materials, Inc.",NYSE,9550000000.0
4654,MA,Mastercard Incorporated,NYSE,212500000000.0
4664,MKC,"McCormick & Company, Incorporated",NYSE,16550000000.0
4665,MCD,McDonald&#39;s Corporation,NYSE,110690000000.0
4667,MCK,McKesson Corporation,NYSE,20180000000.0
4676,MDT,Medtronic plc,NYSE,103810000000.0
4678,MRK,"Merck & Company, Inc.",NYSE,180990000000.0
4686,MET,"MetLife, Inc.",NYSE,22330000000.0
4688,MTD,"Mettler-Toledo International, Inc.",NYSE,15470000000.0
